Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:14:53',VIDEO START,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:15:54',Legger seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:20:44',Reiser seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:27:30',Dier start,"Dieposisjon, men ser ikke om kalven dier fordi en annen kalv står i veien",,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:27:46',Dier slutt,Annen ku går forbi foran,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:28:39',Dier start,Ser ut som han dier,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:28:53',Dier slutt,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:30:02',Dier start,Står i dieposisjon med nakke/hode men tror ikke han dier,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:30:26',Dier slutt,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:38:15',Legger seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:40:57',Reiser seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:53:08',Legger seg,Smaker litt på gresset mens han ligger,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 10:54:34',Reiser seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 11:00:21',Legger seg,,,,,,
37383,3678,Grønn fosterkalv ,2020-06-18 11:20:15',VIDEO SLUTT,,,,,,
37689,1514,Gul ku,2020-06-18 18:06:25',VIDEO START,,,,,,
37689,1514,Gul ku,2020-06-18 18:06:56',Beiter start,Vet ikke akkurat når hun starta å beite ,,,,,
37689,1514,Gul ku,2020-06-18 18:12:12',Beiter slutt,,,,,,
37689,1514,Gul ku,2020-06-18 18:12:54',Beiter start,,,,,,
37689,1514,Gul ku,2020-06-18 18:13:47',Beiter slutt,,,,,,
37689,1514,Gul ku,2020-06-18 18:17:50',Legger seg,,,,,,
37689,1514,Gul ku,2020-06-18 18:36:10',Reiser seg,,,,,,
37689,1514,Gul ku,2020-06-18 18:35:53',VIDEO SLUTT,,,,,,
37346,1637,Grønn egenkalv,2020-06-18 11:28:30',VIDEO START,"Kalven ligger hele perioden som filmes (vet ikke når den la seg, reiste seg)",,,,,
37346,1637,Grønn egenkalv,2020-06-18 12:30:09',VIDEO SLUTT,,,,,,
37684,1512,Rosa ku,2020-07-10 09:40:12',VIDEO START,"(Filming av rosa ku 10.7 -glemte si fra til Oscar, kan ikke brukes?)",,,,,
37684,1512,Rosa ku,2020-07-10 09:47:04',Dier start,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 09:52:10,Dier start,Gul fosterkalv ,,,,,
37684,1512,Rosa ku,2020-07-10 09:54:13',Dier slutt,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 09:55:33',Dier start,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 09:57:14',Dier slutt,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 09:59:35',Dier slutt,Gul fosterkalv ,,,,,
37684,1512,Rosa ku,2020-07-10 10:15:40',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 10:15:54',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 10:20:35',Beiter start,Blader på tre,,,,,
37684,1512,Rosa ku,2020-07-10 10:20:52',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 10:24:10',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 10:27:00',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 10:27:46',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 10:30:06',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 10:30:50',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 11:01:52',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 11:03:00',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 11:10:33',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 11:12:18',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 11:14:19',Beiter slutt ,,,,,,
37684,1512,Rosa ku,2020-07-10 11:16:08',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 11:31:25',Beiter slutt ,,,,,,
37684,1512,Rosa ku,2020-07-10 11:32:15',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 11:33:37',Beiter slutt ,Beiteperiode 10:24 til 11:33. ,,,,,
37684,1512,Rosa ku,2020-07-10 12:00:40',Dier start,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 12:12:11',Dier slutt,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-10 12:27:58',Beiter start,Blader på tre ,,,,,
37684,1512,Rosa ku,2020-07-10 12:28:38',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 12:30:50',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 12:31:41',Dier start,"Hvit egen kalv (hvit ku er mor), rosa ku prøver sparke vekk kalven først, kalven går bak og dier litt bakfra (hun sparker flere ganger), så går den til sin egen mor og fortsetter diing der",,,,,
37684,1512,Rosa ku,2020-07-10 12:34:14',Dier slutt,"12:34:20 hvit egen kalv diing start hvit ku, slutter filme dem 12:34:55 fordi jeg følger rosa ku",,,,,
